,token_id,token_meta,token_all_features,Scale,Colors,Spiral,Density,Outlined,Turbulence,Have Margin,Soft Shapes,Shape Angles,Super Blocks,Collision Check
0,78000000,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000000"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000000"",""image"":""https://media.artblocks.io/78000000.png"",""external_url"":""https://artblocks.io/token/78000000"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000000""},""name"":""Fidenza #0"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Large"",""Colors"":""Golf Socks"",""Spiral"":""No"",""Density"":""Medium"",""Outlined"":""No"",""Turbulence"":""Med"",""Have Margin"":""Yes"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""Yes"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Large""},{""trait_type"":""Fidenza"",""value"":""Colors: Golf Socks""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: Medium""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Med""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: Yes""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x55ac31f9309a8a914ab889fca907f350321024a60d39670cbb693c9c14638d94"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Large', 'Colors': 'Golf Socks', 'Spiral': 'No', 'Density': 'Medium', 'Outlined': 'No', 'Turbulence': 'Med', 'Have Margin': 'Yes', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'Yes', 'Collision Check': 'No Overlap'}",Large,Golf Socks,No,Medium,No,Med,Yes,No,Curved,Yes,No Overlap
1,78000001,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000001"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000001"",""image"":""https://media.artblocks.io/78000001.png"",""external_url"":""https://artblocks.io/token/78000001"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000001""},""name"":""Fidenza #1"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Jumbo"",""Colors"":""Luxe"",""Spiral"":""No"",""Density"":""High"",""Outlined"":""No"",""Turbulence"":""Med"",""Have Margin"":""No"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Jumbo""},{""trait_type"":""Fidenza"",""value"":""Colors: Luxe""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Med""},{""trait_type"":""Fidenza"",""value"":""Have Margin: No""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x93859af28e07e580d66abb151d19389a5277810017dc1dee5c40db4ad62a6c9d"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Jumbo', 'Colors': 'Luxe', 'Spiral': 'No', 'Density': 'High', 'Outlined': 'No', 'Turbulence': 'Med', 'Have Margin': 'No', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Jumbo,Luxe,No,High,No,Med,No,No,Curved,No,No Overlap
2,78000002,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000002"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000002"",""image"":""https://media.artblocks.io/78000002.png"",""external_url"":""https://artblocks.io/token/78000002"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000002""},""name"":""Fidenza #2"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Jumbo"",""Colors"":""White Mono"",""Spiral"":""No"",""Density"":""High"",""Outlined"":""No"",""Turbulence"":""None"",""Have Margin"":""No"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Jumbo""},{""trait_type"":""Fidenza"",""value"":""Colors: White Mono""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: None""},{""trait_type"":""Fidenza"",""value"":""Have Margin: No""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0xc2aaf1ff2a0da924945164ca20f82d58d7065c7c985bb70a1267b63a52157f66"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Jumbo', 'Colors': 'White Mono', 'Spiral': 'No', 'Density': 'High', 'Outlined': 'No', 'Turbulence': 'None', 'Have Margin': 'No', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Jumbo,White Mono,No,High,No,None,No,No,Curved,No,No Overlap
3,78000003,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000003"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000003"",""image"":""https://media.artblocks.io/78000003.png"",""external_url"":""https://artblocks.io/token/78000003"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000003""},""name"":""Fidenza #3"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Uniform"",""Colors"":""Luxe"",""Spiral"":""No"",""Density"":""Low"",""Outlined"":""No"",""Turbulence"":""Low"",""Have Margin"":""Yes"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Uniform""},{""trait_type"":""Fidenza"",""value"":""Colors: Luxe""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: Low""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Low""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x5d30475eda2443896f52e3c671a46b883586b3078eef669ef10f5314af8674da"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Uniform', 'Colors': 'Luxe', 'Spiral': 'No', 'Density': 'Low', 'Outlined': 'No', 'Turbulence': 'Low', 'Have Margin': 'Yes', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Uniform,Luxe,No,Low,No,Low,Yes,No,Curved,No,No Overlap
4,78000004,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000004"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000004"",""image"":""https://media.artblocks.io/78000004.png"",""external_url"":""https://artblocks.io/token/78000004"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000004""},""name"":""Fidenza #4"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Large"",""Colors"":""Baked"",""Spiral"":""No"",""Density"":""Medium"",""Outlined"":""No"",""Turbulence"":""Low"",""Have Margin"":""Yes"",""Soft Shapes"":""Yes"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Large""},{""trait_type"":""Fidenza"",""value"":""Colors: Baked""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: Medium""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Low""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: Yes""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x52f37ee4f842a4c5de405ea161170cbec0147cffb0ae60393148747408d91fe3"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Large', 'Colors': 'Baked', 'Spiral': 'No', 'Density': 'Medium', 'Outlined': 'No', 'Turbulence': 'Low', 'Have Margin': 'Yes', 'Soft Shapes': 'Yes', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Large,Baked,No,Medium,No,Low,Yes,Yes,Curved,No,No Overlap
5,78000005,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000005"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000005"",""image"":""https://media.artblocks.io/78000005.png"",""external_url"":""https://artblocks.io/token/78000005"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000005""},""name"":""Fidenza #5"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Jumbo"",""Colors"":""Politique"",""Spiral"":""No"",""Density"":""High"",""Outlined"":""No"",""Turbulence"":""Med"",""Have Margin"":""Yes"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""Relaxed""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Jumbo""},{""trait_type"":""Fidenza"",""value"":""Colors: Politique""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Med""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: Relaxed""}],""token_hash"":""0x60f7d9cb28297f01e239f57caa92092d2711defe945d5e7635064c8f789479ef"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Jumbo', 'Colors': 'Politique', 'Spiral': 'No', 'Density': 'High', 'Outlined': 'No', 'Turbulence': 'Med', 'Have Margin': 'Yes', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'Relaxed'}",Jumbo,Politique,No,High,No,Med,Yes,No,Curved,No,Relaxed
6,78000006,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000006"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000006"",""image"":""https://media.artblocks.io/78000006.png"",""external_url"":""https://artblocks.io/token/78000006"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000006""},""name"":""Fidenza #6"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Jumbo"",""Colors"":""Party Time"",""Spiral"":""No"",""Density"":""High"",""Outlined"":""No"",""Turbulence"":""Med"",""Have Margin"":""No"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Jumbo""},{""trait_type"":""Fidenza"",""value"":""Colors: Party Time""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Med""},{""trait_type"":""Fidenza"",""value"":""Have Margin: No""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0xefe1990da4d39519b076a3248502e5e675f49f5af84a80dc051bd62f8da0dd52"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Jumbo', 'Colors': 'Party Time', 'Spiral': 'No', 'Density': 'High', 'Outlined': 'No', 'Turbulence': 'Med', 'Have Margin': 'No', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Jumbo,Party Time,No,High,No,Med,No,No,Curved,No,No Overlap
7,78000007,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000007"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000007"",""image"":""https://media.artblocks.io/78000007.png"",""external_url"":""https://artblocks.io/token/78000007"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000007""},""name"":""Fidenza #7"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Jumbo"",""Colors"":""Politique"",""Spiral"":""No"",""Density"":""High"",""Outlined"":""No"",""Turbulence"":""None"",""Have Margin"":""Yes"",""Soft Shapes"":""Yes"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Jumbo""},{""trait_type"":""Fidenza"",""value"":""Colors: Politique""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: None""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: Yes""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x1ad2e7464d431dc2a0c3d74ff7e23a46567f91c8157ed6ab7eb41c7aea158177"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Jumbo', 'Colors': 'Politique', 'Spiral': 'No', 'Density': 'High', 'Outlined': 'No', 'Turbulence': 'None', 'Have Margin': 'Yes', 'Soft Shapes': 'Yes', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Jumbo,Politique,No,High,No,None,Yes,Yes,Curved,No,No Overlap
8,78000008,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000008"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000008"",""image"":""https://media.artblocks.io/78000008.png"",""external_url"":""https://artblocks.io/token/78000008"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000008""},""name"":""Fidenza #8"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Large"",""Colors"":""Luxe"",""Spiral"":""No"",""Density"":""Medium"",""Outlined"":""No"",""Turbulence"":""Low"",""Have Margin"":""Yes"",""Soft Shapes"":""Yes"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Large""},{""trait_type"":""Fidenza"",""value"":""Colors: Luxe""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: Medium""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Low""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: Yes""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0x8ab5f6f4729df5bbaa5dc4c3d1196c572a170f47068e8eed6d50a6a09766de90"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Large', 'Colors': 'Luxe', 'Spiral': 'No', 'Density': 'Medium', 'Outlined': 'No', 'Turbulence': 'Low', 'Have Margin': 'Yes', 'Soft Shapes': 'Yes', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Large,Luxe,No,Medium,No,Low,Yes,Yes,Curved,No,No Overlap
9,78000009,"{""platform"":""Art Blocks Curated"",""tokenID"":""78000009"",""series"":3,""animation_url"":""https://generator.artblocks.io/78000009"",""image"":""https://media.artblocks.io/78000009.png"",""external_url"":""https://artblocks.io/token/78000009"",""aspect_ratio"":0.833333,""payout_address"":""0x6C093Fe8bc59e1e0cAe2Ec10F0B717D3D182056B"",""interactive_nft"":{""version"":""0.0.9"",""code_uri"":""https://generator.artblocks.io/78000009""},""name"":""Fidenza #9"",""artist"":""Tyler Hobbs"",""description"":""Fidenza is by far my most versatile algorithm to date. Although the program stays focused on structured curves and blocks, the varieties of scale, organization, texture, and color usage it can employ create a wide array of generative possibilities."",""script_type"":""p5js"",""project_id"":""78"",""curation_status"":""curated"",""royaltyInfo"":{""artistAddress"":""0x33c9371d25ce44a408f8a6473fbad86bf81e1a17"",""additionalPayee"":""0xa7f65175cb6c300eef56416e2189b138c67247bb"",""additionalPayeePercentage"":""0"",""royaltyFeeByID"":""5""},""collection_name"":""Fidenza by Tyler Hobbs"",""website"":""https://tylerxhobbs.com"",""features"":{""Scale"":""Micro-Uniform"",""Colors"":""Luxe"",""Spiral"":""No"",""Density"":""High AF"",""Outlined"":""No"",""Turbulence"":""Low"",""Have Margin"":""Yes"",""Soft Shapes"":""No"",""Shape Angles"":""Curved"",""Super Blocks"":""No"",""Collision Check"":""No Overlap""},""traits"":[{""trait_type"":""Fidenza"",""value"":""All Fidenzas""},{""trait_type"":""Fidenza"",""value"":""Scale: Micro-Uniform""},{""trait_type"":""Fidenza"",""value"":""Colors: Luxe""},{""trait_type"":""Fidenza"",""value"":""Spiral: No""},{""trait_type"":""Fidenza"",""value"":""Density: High AF""},{""trait_type"":""Fidenza"",""value"":""Outlined: No""},{""trait_type"":""Fidenza"",""value"":""Turbulence: Low""},{""trait_type"":""Fidenza"",""value"":""Have Margin: Yes""},{""trait_type"":""Fidenza"",""value"":""Soft Shapes: No""},{""trait_type"":""Fidenza"",""value"":""Shape Angles: Curved""},{""trait_type"":""Fidenza"",""value"":""Super Blocks: No""},{""trait_type"":""Fidenza"",""value"":""Collision Check: No Overlap""}],""token_hash"":""0xa7791fbdb8ae95bad8f76c85179cb4bc4decccb76ce7e8a0c22b126e07a15942"",""is_dynamic"":true,""license"":""Copyright Anticlassic Studios LLC, 2021""}","{'Scale': 'Micro-Uniform', 'Colors': 'Luxe', 'Spiral': 'No', 'Density': 'High AF', 'Outlined': 'No', 'Turbulence': 'Low', 'Have Margin': 'Yes', 'Soft Shapes': 'No', 'Shape Angles': 'Curved', 'Super Blocks': 'No', 'Collision Check': 'No Overlap'}",Micro-Uniform,Luxe,No,High AF,No,Low,Yes,No,Curved,No,No Overlap
